,0,1,2,3,4,5,6,7,8,9
Alejandra Guzman,"""Hacer el amor con otro"" by Alejandra Guzmán:
    Amanecer con él
    A mi costado no es igual que estar contigo
    No es que esté mal, ni hablar
    Pero le fal...","""Eternamente bella"" by Alejandra Guzmán:
    Quisiera que me dijeras una y otra vez
    ""Te quiero, baby, te quiero y siempre te querré.""
    Con esa len...","""Mírala, míralo"" by Alejandra Guzmán:
    Mírala, mírala, mírala
    Diosa vestida de saliva y sal
    Los ojos muertos en blanco gimiendo en el suelo...","""Volverte a amar"" by Alejandra Guzmán:
    Voy de prisa siempre en contra del reloj
    Todo lo que viví nunca fue para mí
    Y aunque duele aceptarlo...","""Yo te esperaba (En vivo) [Primera fila]"" by Alejandra Guzmán:
    Yo te esperaba y veía mi cuerpo crecer mientras buscaba
    El nombre que te di
    
    En el espejo fui la lun...","""Más Buena"" by Alejandra Guzmán & Gloria Trevi:
    C'mon on
    Malo, hasta lo bueno se veía tan malo
    Hasta lo dulce me sabía amargo
    Cuando te fuiste me qu...",,"""Llama por favor"" by Alejandra Guzmán:
    La luna es una naranja del color del carmín a media noche
    Descalza tras la ventana, viendo el Madrid...","""Mi peor error (En vivo) [Primera fila]"" by Alejandra Guzmán:
    Fue como fue
    Me robaste el alma, me tuviste a tus pies
    Te amé
    
    Me equivoqué
    Creía que era eterno des...","""Mala hierba"" by Alejandra Guzmán:
    Poco a poco conseguí
    Fijar tu atención en mí
    ¿A qué esperas? Por favor, ven aquí
    
    Algo noto, raro es..."
Alejandro Fernández,"""Me Dedique A Perderte"" by Alejandro Fernández:
    ¿Por qué no te besé en el alma cuando aún podia?
    ¿Por qué no te abracé la vida cuando la tenía?
    Y yo...","""Duele"" by Alejandro Fernández & Christian Nodal:
    Despierto y solo veo botellas vacías
    Y en mi cuarto está tu aroma todavía
    Veo un montón de nuestras ...","""Decepciones"" by Alejandro Fernández:
    Ya no te extraño, me dueles a ratos
    Es diferente y justamente
    Me dueles a veces al recordar
    Que te d...","""Me Hace Tanto Bien"" by Alejandro Fernández:
    A veces te digo no
    Porque no quiero dejarme a mí lágrimas del corazón
    Tengo miedo de perderte
    Advier...","""Caballero"" by Alejandro Fernández:
    Desde el día en que te miré
    Ibas bien acompañada
    Ibas con él de la mano
    De repente te reías, de reoj...","""Sé Que Te Duele"" by Alejandro Fernández:
    Sé que te duele
    Que ya no quiera verte aunque por las noches me esperes
    Que ya eres una más y en el ...","""Te Olvidé"" by Alejandro Fernández:
    Yo también sé jugar
    Y me hubiera divertido
    Es mejor que llorar
    Y sentirme malherido
    Si me dolió tu a...",,"""Hoy Tengo Ganas De Ti"" by Alejandro Fernández:
    Fuiste ave de paso y no sé por qué razón
    Me fui acostumbrando cada día mas a ti
    Los dos inventamos l...","""Canta Corazón"" by Alejandro Fernández:
    Letra de ""Canta Corazón""
    Canta corazón
    Que mis ojos ya la vieron por aquí
    Que he soñado con su risa,..."
Alejandro Sanz,"""Corazón Partío"" by Alejandro Sanz:
    Tiritas pa' este corazón partío
    Tiri-ti-tando de frío
    Tiritas pa' este corazón partío
    Pa' este coraz...","""Amiga Mía"" by Alejandro Sanz:
    Amiga mía, lo sé, solo vives por él, que lo sabe también
    Pero él no te ve como yo, suplicarle a mi b...","""Un Beso en Madrid"" by TINI & Alejandro Sanz:
    Recuerdo que contigo fue tan diferente, tan natural (Tan natural)
    Jugando, me decías que leías mi me...","""Deja Que Te Bese"" by Alejandro Sanz:
    Deja que se enteren
    Como yo te quiero
    Y como tú me quieres
    Deja que nos miren
    Cuando te enamores
    No ...",,"""Mi Persona Favorita"" by Alejandro Sanz & Camila Cabello:
    Yo no entiendo de colores ni de razas
    A mí me gusta el morenito de tu cara
    Te he buscado en cada tar...","""La fuerza del corazón"" by Alejandro Sanz:
    Mírame, en nada me consigo concentrar
    Ando despistado, todo lo hago mal
    Soy un desastre y no sé qué ...","""Desde cuándo"" by Alejandro Sanz:
    Ya no duele porque al fin ya te encontré
    Hoy te miro y siento mil cosas a la vez
    Mira si busqué, mir...","""Mi soledad y yo"" by Alejandro Sanz:
    Cómo estás, qué tal te va
    Allí es de día o es de noche
    Es bonita esa ciudad
    Para ir de vacaciones
    Y ...","""Y, ¿Si fuera ella?"" by Alejandro Sanz:
    Ella se desliza y me atropella
    Y aunque a veces no me importe
    Sé que el día que la pierda volveré a ..."
Aleks Syntek,"""Duele el Amor"" by Aleks Syntek:
    Duele el amor, sin ti
    Duele hasta matar
    
    Siento la humedad en mí
    De verte llorar, ni hablar
    Si es qu...","""Sexo, Pudor Y Lágrimas"" by Aleks Syntek:
    A veces no pienso
    Me vuelvo tan frío y no estoy
    A veces me ausento de mis sentimientos
    Y luego sonrí...","""Corazones Invencibles"" by Aleks Syntek:
    Hoy tu cara me lo dice todo
    En silencio me hablas de algún modo...
    Algo no te deja ser feliz
    Sé, la ...","""Tu Recuerdo Divino [Versión Bodas]"" by Aleks Syntek:
    ""]
    Por que que había perdido, lo he recuperado
    Hoy me guardaré tu recuerdo divino
    Pareciera que te t...","""Historias de Danzón y de Arrabal"" by Aleks Syntek:
    Hay historias que son de danzón y de arrabal
    Hay placeres que embriagan y saben a traición
    En los tu...",,"""Tú Necesitas"" by Aleks Syntek:
    Es que no puede ser que nadie te vio
    Que estabas aquí en la soledad
    Es que no puede ser que nadie se...","""Intocable"" by Aleks Syntek:
    Yo no se que sucedió
    Nunca supe la verdad
    La razón de tus motivos
    Si en el juego del amor
    Ahora soy ...","""Ay Haiti!"" by Alejandro Sanz:
    ¿Hay alguien por ahí
    Alguien que me pueda oír?
    ¿Queda algo por decir
    Un milagro que nos convierta en...","""Viviendo de Noche"" by Aleks Syntek:
    Los análisis dan alcohol
    Dicen que ha bebido nuestro conductor
    Debido a su mal estado
    Al final hemos..."
Alena,,,,,,,,,,
Alena Cherny,,,,,,,,,,
Alessio Bax,,,,,,,,,,
Alestorm,"""Drink"" by Alestorm:
    Oi you, gies a beer
    
    Piracy's a crime and crime doesn't pay
    And we go home poor at the end of the da...","""Keelhauled"" by Alestorm:
    My friends I stand before you
    To tell a truth most dire
    There lurks a traitor in our midst
    Who hath ...","""Fucked with an Anchor"" by Alestorm:
    Fuck you, you're a fucking wanker
    We're gonna punch you right in the balls
    Fuck you with a fucking a...","""Mexico"" by Alestorm:
    When the quest is over and the battle's won
    There's a land far to the south where we go to have some...","""Treasure Chest Party Quest"" by Alestorm:
    Five hundred years ago when I was born
    I crawled from the womb with a drinking horn
    I held it to the...",,"""Fannybaws"" by Alestorm:
    Woah-oh, come take a trip with me
    I'll tell you of the greatest man who ever sailed the sea
    Woah-oh,...","""Shipwrecked"" by Alestorm:
    It's three years to the very day
    Since a pirate captain said to me
    ""Hey lad, come join our crew
    Adve...","""Alestorm"" by Alestorm:
    Go
    A storm is coming
    The cold is mind numbing
    Darkness is Descending
    Death
    There's no escaping
    We're...","""The Sunk’n Norwegian"" by Alestorm:
    There lies a tavern near Wisconsin Way
    Where you can get drunk any time o' the day
    The landlord's a ..."
Alex,"""Alexander Hamilton"" by Leslie Odom, Jr., Anthony Ramos, Daveed Diggs, Okieriete Onaodowan, Lin-Manuel Miranda, Phillipa Soo, Christopher Jackson & Original Broadway Cast of “Hamilton”:
    How does a bastard, orphan, son of a whore and a
    Scotsman, dropped in the middle of a forgotten
    Spot...","""Non-Stop but whoa"" by Sam Lasky:
    After the war I went back to New York
    A-After the war I went back to New York
    After the war I went b...","""Take a Break"" by Phillipa Soo, Anthony Ramos, Lin-Manuel Miranda & Renée Elise Goldsberry:
    Un deux trois quatre
    Cinq six sept huit neuf (Un deux trois quatre)
    Cinq six sept huit neuf
    Good! Un...","""Wait For It"" by King Los:
    Bitch I'm groovy I put all my chicks in Loubies
    Plus I blow that hammer money have your honey twist ...","""The Election of 1800"" by Daveed Diggs, Okieriete Onaodowan, Leslie Odom, Jr., Lin-Manuel Miranda & Original Broadway Cast of “Hamilton”:
    The election of 1800
    
    Can we get back to politics?
    
    Please?
    
    Yo. Ev’ry action has an equal, opposite...","""7 minutes in Hamilton"" by Range Acapella:
    How does a bastard, orphan, son of a whore and a Scotsman, dropped in the middle of a forgotten spot...","""Film"" by VNM:
    God damn, obudziłem się czy to sen?
    Ciągle ciągnie mnie tu pod niebo, nie wiem
    Nie, nie pod niebo po...","""The Room Where It Happens"" by Leslie Odom, Jr., Lin-Manuel Miranda, Daveed Diggs, Okieriete Onaodowan & Original Broadway Cast of “Hamilton”:
    Ah, Mister Secretary
    
    Mister Burr, sir
    
    Didja hear the news about good old General Mercer?
    
    No
    
    You ...","""Lafayette Interlude"" by Lin-Manuel Miranda:
    How does a ragtag volunteer army in need of a shower
    Somehow defeat a global superpower?
    How does Ki...","""#Ham4Ham: The Hamilton Mixtape Performance"" by Black Thought:
    No John Trumbull (Intro) – Black Thought
    
    Yeah, Listen
    You ever see a painting by John Trumbull?
    Fou..."
Alex Campos,"""Tu poeta"" by Alex Campos:
    Cuando desperté allí estabas tú
    Aquella mujer con la que soñé
    Le vestí la piel sus labios bese
    Y en ...","""Al Taller Del Maestro"" by Alex Campos:
    Ay, cómo me duele estar despierto, y no poder cantar
    Cómo expresarte sin palabras que me muero si no...","""Nominados a los Latin Grammy 2017"" by Latin Grammys:
    Source/Fuente1. GRABACIÓN DEL AÑO
    Rubén Blades — ""La Flor de La Canela""
    Jorge Drexler — ""El Surco""
    A...","""Soy Soldado"" by Alex Campos & Redimi2:
    Soy soldado de la vida que se aferra a la verdad
    Mi camino es muy angosto, pero lleva libertad
    Mi de...","""Me Robaste El Corazon"" by Alex Campos:
    Me robaste el corazon
    Te aduenaste de mi vida
    De tus labios brota miel
    Y tu dulce voz me arrulla
    (Do...","""Hoy"" by Alex Campos:
    Hoy
    Que el cielo se ha despejado
    La lluvia también se ha marchado
    De lejos veo salir el sol
    Hoy
    Encu...","""Vives tú y vivo yo"" by Alex Campos:
    Que me ha hecho tu mirada
    Se ha quedado aquí en mi mente
    Me cautiva la razón
    Me observas en silencio...","""El Sonido Del Silencio"" by Alex Campos:
    El sonido del silencio
    El que no quiero escuchar
    Es aquella noche fria
    La que quiero evitar
    El senti...","""Tú Tan Mío"" by Alex Campos:
    El día empezó
    Vuelve otra vez
    Y sin ti, no soy yo
    Yo te buscaré
    Y te encontraré
    Te haré saber, mi am...","""Te puedo sentir"" by Alex Campos:
    Déjanos sentirte esta noche
    Queremos sentirte
    Que seria de mi
    Si no esta aquí, moriría allí
    Al vivir..."
Alex Clare,"""Too Close"" by Alex Clare:
    You know I'm not one to break promises
    I don't want to hurt you, but I need to breathe
    At the end of...","""Heaven To Me"" by Don Diablo:
    I promise I won't waste your time
    Leave it up to me and I will blow your mind
    I know the moment when...","""Crazy to Love You"" by DECCO:
    Lately I been living on gin and adrenaline
    Tryna play a game I can never win
    In a part of town where...","""List of Protocol Recordings Releases"" by Genius Lists:
    List of all Protocol Recordings releases
    (Sorted by catalog)
    Releases (Songs and EPs by artists)PR00...","""Hold On"" by ​ilan Bluestone:
    This feeling's taking over (over)
    Can't control myself (myself)
    Tell me to get bolder
    Cause you're s...","""Treading Water"" by Alex Clare:
    My heart just sank, the moment I saw you
    You're the image of a girl that I used to know
    Don't be ala...","""War Rages On"" by Alex Clare:
    The war rages on
    You'll be at my side
    Through it all
    Through hardships unseen
    We'll still survive, f...","""Up All Night"" by Alex Clare:
    Wakin' up in someone else's bed
    Was what I was waitin' for
    Oh, my days what have I done
    She saw me s...","""Addicted To Love"" by Alex Clare:
    Your lights are on, but you're not home
    Your mind is not your own
    Your heart sweats, your body shake...","""Hummingbird"" by Alex Clare:
    Take what you need and leave the rest
    No, I don't mind, no I don't mind
    I'll get this off my chest
    T..."
Alex G,"""Sarah"" by (Sandy) Alex G:
    Sarah runs
    To feel the burning in her lungs
    And clear her head
    Do you know what Sarah meant
    When she...","""Gretel"" by (Sandy) Alex G:
    I don't wanna go back
    Nobody's gonna push me off track, uh huh
    I don't wanna go back
    Nobody's gonna ...","""Babylon (Cover By (Sandy) Alex G)"" by Oneohtrix Point Never:
    Babylon
    It's for you I sing
    Babylon
    In a sea of other things
    This song (This song)
    Burning the offer...","""Hope"" by (Sandy) Alex G:
    He was a good friend of mine
    He died
    Why I write about it now?
    Gotta honor him somehow
    Saw some peop...","""Southern Sky"" by (Sandy) Alex G:
    One, two, three
    I count black sheep on my way to sleep
    I can’t pick and choose these devils in my
    Pa...","""Mary"" by (Sandy) Alex G:
    Mary is the girl that I wanna kiss
    Shes got big red eyes and big red lips
    Shes got big sharp teeth a...","""Brite Boy"" by (Sandy) Alex G:
    Bright boy, I can help you
    If you let me take your hand
    Bring you right to promise land
    Bring you ri...","""Change"" by (Sandy) Alex G:
    How are you today?
    I saw your friend's band play
    A little show last night
    It's not my thing, they we...","""Bobby"" by (Sandy) Alex G:
    Bobby's just a friend of mine
    He's on his back
    I'm on his mind
    He wakes me when he goes to work
    His ...","""Advice"" by (Sandy) Alex G:
    Don't get hung on petty things
    String the sinner by his wings
    In his head, a brittle bone
    The world ..."
Alex Gargolas,"""Mi Llamada (Remix)"" by Lyanno, Rauw Alejandro & Lunay:
    This is the remix
    Mami, ¿qué fue?
    Voy de camino a tu habitación
    Me dejaste con má' ganas que ayer
    Ma...","""Un Sueño"" by RKM & Ken-Y:
    Gárgolas
    Mambo Kingz
    
    Las horas pasan y yo sigo aquí
    Extrañándote, extrañándote
    Es como un vicio que...","""Soy Una Gárgola"" by Randy Nota Loca:
    Hey yo
    Arcángel pa'
    Alex Gárgolas
    Prrra
    Randy
    Definitivamente ha tenido una de las mas mejores traye...","""Welcome To San Juan"" by Farruko & Arcángel:
    Welcome to the paradise
    Amo Puerto Rico
    ¡Farru!
    
    Quisiera ver el atardecer
    Tú y yo junto a la orilla...","""Mi Llamada (Remix)"" by Lyanno, Rauw Alejandro & Lunay:
    This is the remix
    Mami, ¿qué fue?
    Voy de camino a tu habitación
    Me dejaste con má' ganas que ayer
    Ma...","""Te Hago El Amor"" by Zion & Lennox:
    Eliel!
    Ya tu sabes!
    (A ti te gusta...)
    (Te hago el amor...)
    A ti te gusta como yo
    Te hago el amor
    Tu...",,"""Te Estoy Buscando"" by Arcángel & De La Ghetto:
    Bienvenidos a mi nuevo genero...
    Yo te estoy buscando.... (a este movimiento urbano que te lo
    He dic...","""Quiero Sentir Tu Cuerpo"" by Magnate & Valentino:
    Letra de ""Quiero Sentir Tu Cuerpo""
    Hector ‘El Bambino’ presenta
    A Magnate y Valentino
    Gargolas
    Comin...","""Con ella me quedare"" by Zion:
    Entrando a la disco en algo me enfoco
    Veo a esta jeva, tremenda sensación
    Pero luego es ella quien....."
Alex K,"""New Music Friday 3/19/21"" by Spotify:
    Peaches - Justin Bieber
    Headshot (feat. Polo G & Fivio Foreign) - Lil Tjay
    Tu Veneno - J Balvin
    As I...","""Jangueo"" by Don Omar:
    Letra de ""Jangueo"" ft.  Danny Fornaris
    Veo fusión
    Don!!!
    Dany for alex
    El planetario
    Esto es King of...","""Sencillos del Mes de Febrero 2019"" by Genius en Español:
    * = letra incompleta.
    01/02Abhir Hathi - Blu ft. Cruz Cafuné
    Brray - Sheesh
    ChocQuibTown - Pa' Olvid...","""Sencillos del Mes de Julio 2018"" by Genius en Español:
    * = letra incompleta.
    02/07Glytch – Aquafina ft. Jon Z
    Sael – Vamo' a Darle
    04/07Arcángel – Mi Prime...","""Date With Me"" by CandyRush:
    Date with me
    Date with me
    
    (Alex kroll):
    Seeing you shining bright like that
    Remove the clouds in yo...","""Sencillos del Mes de Diciembre 2018"" by Genius en Español:
    * = letra incompleta.
    02/12Bad Bunny - Desde El Corazón
    Natti Natasha - Me Gusta
    Welo Fama - Sin Mie...","""Déjate Llevar"" by Alex Rose:
    D-Note is on the beat
    It's The Beatllionare
    
    Shorty, yo sé que quieres
    Hace tiempo lo sé
    Enviando fo...","""Sencillos del Mes de Diciembre 2019"" by Genius en Español:
    * = letra incompleta.
     = Canción filtrada
    02/12El Cherry Scom & Kiko El Crazy – Bajé Con Trenzas (Re...","""Soy Peor"" by Bad Bunny:
    Uh, uh, uh
    ¡Wuh!
    
    Salí jodí'o la última vez que en alguien yo confié (Oh, yeh)
    Me compré una forty y...","""Sencillos del Mes de Diciembre 2018"" by Genius en Español:
    * = letra incompleta.
    02/12Bad Bunny - Desde El Corazón
    Natti Natasha - Me Gusta
    Welo Fama - Sin Mie..."
Alex Metric,,"""2014 Letter to Shareholders"" by Warren Buffett:
    To the Shareholders of Berkshire Hathaway Inc.: Berkshire’s gain in net worth during 2014 was $18.3 ...","""Ulysses (Chap. 14 - Oxen of the Sun)"" by James Joyce:
    Deshil Holles Eamus. Deshil Holles Eamus. Deshil Holles Eamus.
    Send us bright one, light one, Horhor...",,,,"""2014 Letter to Shareholders"" by Warren Buffett:
    To the Shareholders of Berkshire Hathaway Inc.: Berkshire’s gain in net worth during 2014 was $18.3 ...",,"""Os Sertões"" by Euclides da Cunha:
    Os Sertões, de Euclides da Cunha
    Fonte:
    CUNHA, Euclides da. Os Sertões. São Paulo: Três, 1984 (Bibli...","""Ulysses (Chap. 14 - Oxen of the Sun)"" by James Joyce:
    Deshil Holles Eamus. Deshil Holles Eamus. Deshil Holles Eamus.
    Send us bright one, light one, Horhor..."
Alex Newell,,,"""Rescue Me"" by DJ D-Sol:
    I need a man who tells me what he wants
    I need a lover who can move me
    When I think about it you cou...",,"""Boy, You Can Keep It"" by Alex Newell:
    That sad little thing you call a heart, before we start
    Boy, you can keep it
    I'm not impressed with ...","""Mama Told Me"" by Alex Newell:
    Thank you for showing me the world
    You know that you are
    My one and only girl
    Gotcha in my ear sayin...",,,"""Nobody to Love"" by Alex Newell:
    I know you're tired
    Of lovin', of lovin'
    With nobody to love
    Nobody, nobody
    So just grab somebody
    No...",
Alex Pro,"""Sencillos del Mes de Febrero 2021"" by Genius en Español:
    * = letra incompleta.
    01/02
    La Ross Maria & La Perversa — Klk El Dice
    03/02
    Rochy RD, Myke Towers & ...","""Sin Tu Amor a Duo con Alex Pro"" by Alex Pro:
    Caminando en este mundo ando yo
    Sin un rumbo, sin destino, sin razon
    Sin nadie como tu para amar
    Ten...","""La Trayectoria (Mas Flow Family)"" by Luny Tunes:
    Parte 1: Mas Flow Family (Don Omar, Joan & O'Neill, Wibal & Alex)
    
    Probando, probando
    Sube, sube Nal...","""TOUR"" by Lil Darkie:
    ]
    Is it ready?
    Oh, yeah
    So‚ it was like one of the‚ like‚ most, like, weird‚ like, unique show any o...","""Tu Turno (Alex Rose Remix)"" by Karen Méndez:
    Sé que nunca me van a amar de verdad
    Yeah-eh-eh
    Despué' del daño que te hice
    Te aseguro que el karma...","""Até Quando Brasil-Colônia?"" by Oriente:
    ""Eu quero falar dos que mamam
    Dos marmanjos, safados, sem vergonhas, cafajestes
    Que infestam a polít...",,"""Ella Y Ella"" by Irelle Yoko:
    Creo que yo hasta aquí llegue/Ya no hace falta pelear/No hacen falta los celos y los problemas/Si to...","""Nominados a los Latin Grammy 2017"" by Latin Grammys:
    Source/Fuente1. GRABACIÓN DEL AÑO
    Rubén Blades — ""La Flor de La Canela""
    Jorge Drexler — ""El Surco""
    A...","""Me Tienes de Cabeza (Remix)"" by Flex & Kalimba:
    Me tienes de cabeza
    Uh-uh-uh-uh-uh-uh-uh
    Remix
    Ja
    Sumba, Kali
    Fue imposible no mirarte (No mirarte)
    ..."
Alex Rose,"""Me Fijé"" by Alex Rose & Rauw Alejandro:
    Uh-yeah-yeah
    Alex Rose
    Oh-yeah-yeah
    Ra-Rauw
    
    Ya la gente está loca
    Pero nadie se quiere ir
    No le baj...","""Jangueo"" by Alex Rose & Rafa Pabön:
    D-Note is on the beat (Yeah-yeh)
    (The Billionaire; yeah-yeh)
    Yo no sé si tú está' aborrecí'a
    Hay alg...","""Toda (Remix)"" by Alex Rose, Rauw Alejandro, Lenny Tavárez, Cazzu & Lyanno:
    D-Note is on the beat
    ""The Beatlllionare""
    Bebé
    Yeah!
    
    Yo te conozco, lo veo en tu cara
    No te comport...","""Darte (Remix)"" by Alex Rose:
    D-Note is on the beat
    Tú sabes lo que yo quiero hacerte (-Te, -te)
    Dime cuánto tengo que esperar
    ¿Cu...","""Darte"" by Alex Rose & Myke Towers:
    (D-Note is on the beat)
    I see you winding and grinding up on that pole
    I know you see me looking at ...","""Percocet (Remix)"" by Alex Rose:
    ""The Beatllionare""
    D-Note is on the beat
    ¿Qué fue lo que pasó?
    Qué te llamo y tu no coges el teléfon...","""Déjate Llevar"" by Alex Rose:
    D-Note is on the beat
    It's The Beatllionare
    
    Shorty, yo sé que quieres
    Hace tiempo lo sé
    Enviando fo...","""Fantasmita (Remix)"" by Casper Mágico, Alex Rose & Bryant Myers:
    This is the remix
    Yo sé que yo fallé
    Me dejé llevar bien loco y me guayé
    Solo dime si me puedes cump...","""Para Ti"" by Jay Wheeler, DJ Nelson & Alex Rose:
    Oh-oh
    Yeah-yeih
    Mmm, mmm, mmm
    He visto que en el amor no has tenido suerte (Suerte)
    Y que te cuesta ...","""Na’ Personal"" by Miky Woodz:
    No sé qué piensas de mí
    Pero te fui real, no fui un cabrón contigo (Cabrón contigo)
    Ya no sé ni qué ..."
Alex Ubago,"""Aunque No Te Pueda Ver"" by Álex Ubago:
    Si ayer tuviste un día gris
    Tranquila, yo haré canciones para ver
    Si así consigo hacerte sonreír
    Si ...","""Resistiré (2020)"" by Resistiré 2020:
    Cuando pierda todas las partidas
    Cuando duerma con la soledad
    Cuando se me cierren las salidas
    Y la ...","""Sin Miedo a Nada"" by Álex Ubago:
    Me muero por suplicarte que no te vayas mi vida
    Me muero por escucharte decir las cosas que nunca di...","""Estar Contigo"" by Álex Ubago:
    Estar contigo
    Es como tocar el cielo con las manos
    Con el sol de un primer día de verano
    Como en un ...","""A Gritos de Esperanza"" by Álex Ubago:
    Letra de ""A gritos de esperanza""
    A pesar de que la luna no brille mañana
    Me dará igual pues solo ver...",,"""Sin Miedo a Nada"" by Álex Ubago:
    Me muero por suplicarte que no te vayas mi vida
    Me muero por escucharte decir las cosas que nunca di...","""Dame Tu Aire"" by Álex Ubago:
    Hoy te perdí una vez mas al despertar
    Si soñara la realidad y viviera lo que se fue
    Mi humor míralo ...","""Si Tú Te Vas"" by Álex Ubago:
    Eh, eh, eh, eh
    
    Quise creer que todo era eterno
    Que nada iba a cambiar
    Soñé un verano que ahora es i...",
Alex Vargas,"""October 2019 Album Release Calendar"" by Genius:
    10/1
    CHEN (EXO) - Dear my Dear - 6/6
    Kim Petras - TURN OFF THE LIGHT - 17/17
    MrHeadA$$Trendy - Hiatu...","""Finnegan’s Wake (Chap. 2.3)"" by James Joyce:
    It may not or maybe a no concern of the Guinnesses but.
    That the fright of his light in tribalbalbut...","""January 2020 Singles Release Calendar"" by Genius:
    1/1
    Bombay Bicycle Club - ""I Can Hardly Speak""
    Eric Bellinger - ""Agree 2 Disagree"" ft. La'Myia
    Eric ...",,"""MLB Blogcast AMA: Royals’ Joys Are a Royal Pain for Opponents"" by Sports Genius:
    It is April 30, 2015, and we are closing in on our first month of the MLB season. We are in the midd...",,"""May 2019 Singles Release Calendar"" by Genius:
    5/1
    Asian Da Brat - ""Tweakin""
    Banda Los Sebastianes - ""Un Año"" ft. Sebastián Yatra
    Blueface - ""Stop ...",,,
Alexander Acha,"""Te Amo"" by Alexander Acha:
    Amo toda tu figura
    Modelo de lo increíble
    Belleza y virtud en una
    Tu soltura al perdonar
    No dejas mo...","""Tu mentirosa"" by Gente De Zona:
    Escucha mami
    La vida tiene cosas buenas
    Tiene cosas malas
    Escucha mami
    La vida tiene cosas buenas
    Ti...","""Amiga"" by Alexander Acha:
    Sabes que estás invadiendo cada sentimiento que hay dentro de mí
    Robas descaradamente cosas que mi m...","""Amor Sincero"" by Alexander Acha:
    Llegas, se acabó una larga espera
    Este invierno es primavera porque llegas y me abrigo en ti
    Llegas,...",,,,"""Tu mentirosa"" by Gente De Zona:
    Escucha mami
    La vida tiene cosas buenas
    Tiene cosas malas
    Escucha mami
    La vida tiene cosas buenas
    Ti...",,"""Dame tu amor (Gimme your love)"" by Alexander Acha:
    Dime tu dime por favor que tengo que hacer
    Para llegar a ti, te quiero ver
    Te he buscado por todas p..."
Alexandra,,"""​obsession"" by Shura:
    I remember trying to sleep last night, quiet
    Nothing ever happens here
    And I was trying to read your...","""Me Voy En Una"" by Rc La Sensación:
    Te metiste a mi vida sin pedir permiso
    Diab', yo ni sé cómo lo hizo
    Tu amor fue un hechizo que, sin ...","""Sin Un Beso"" by Marcela Morelo:
    Se que cambiaron hoy por ti mis sentimientos
    Sera mejor que piense en mi sufrir mas no puedo
    Y no pu...","""Entre Lo Bueno Y Lo Malo"" by Sebastian LVDA:
    Almighty
    LVDA
    
    Siempre que salgo a la calle me pelea
    Porque tiene miedo que a mí me traicionen
    Siemp...","""Le Gustan Todos"" by Trainer:
    Ella tiene una desilusión
    Un idiota que decía que la quería
    Pero era mentira; era un cabrón
    Todo el ...","""May 2020 Album Release Calendar"" by Genius:
    5/1
    Ace Hood - Self Preservation - 3/3
    Annie Hamilton - Annie Hamilton EP - 6/6
    Austra - HiRUDiN - 1...","""Sencillos del Mes de Agosto 2020"" by Genius en Español:
    * = letra incompleta.
    03/08
    Tiro Loko — El Perdedor ft. Dharius
    05/08
    Bizarrap & Cazzu — Cazzu: Bzrp...","""Shot For Me"" by Darkiel:
    Puedo ver en tus ojos
    Que estás molesta contigo
    Porque han llegao' cuatro hombres
    Porque has tenio' ...","""Alexandra"" by Aventura:
    Once again, Aventura
    
    Hoy que me pongo yo a pensar
    En Alexandra y los momentos que han pasado
    Aquí h..."
Alexandra Stan,"""Mr. Saxobeat"" by Alexandra Stan:
    You make me dance, bring me up, bring me down
    Play it sweet, make me move like a freak, Mr. Saxobeat...","""Get Back (ASAP)"" by Alexandra Stan:
    Yeah, yeah, yeah, oh yeah!
    Yeah, yeah, yeah, oh yeah!
    Yeah, yeah, yeah, oh yeah!
    Yeah, yeah, yeah, o...","""We Wanna"" by Alexandra Stan & INNA:
    We wanna dance 'till we can't no more
    We wanna love with the lights down low
    From Argentina to Moroc...","""Aleasa"" by Alexandra Stan:
    Am ales să-ți fiu aleasa, m-am gândit să-mi fii ales
    Și n-am de gând s-o țin în lesă, eu aș vrea să ...","""Tikari"" by Alexandra Stan:
    Tikari, tikari, tikari
    Yeah, hmm
    Tikari, tikari, tikari
    Ey, mami, ¿qué dice'?
    ¿Qué dice'?
    Uno, dos, ...","""Tembleque"" by NOSFE, Alexandra Stan & Sak Noel:
    Sto con la mia banda in giro
    Frega niente me la giro
    Anche la sua testa gira
    Cosa facciamo col cuore...","""1.000.000"" by Alexandra Stan:
    Yeah, haha
    My number one; Alexandra Stan
    That's right
    Yeah, Carlprit, take it
    Let's go!
    
    Hey, hey, y...","""Lollipop (Param Pam Pam)"" by Alexandra Stan:
    Hmm, I like the candy
    I like the chocolate
    Umm, the ice-cream is very good, but...
    I just love my lo...","""Arabian Nights,Vol. 2 (Chap. 3)"" by Richard F. Burton:
    Tale of King Omar Bin Al-Nu'uman and His Sons Sharrkan and Zau Al-Makan
    And What Befel Them of Thing...","""Delfinii"" by Criss Blaziny:
    Toți caută dume, vor să prindă și la lume
    Noi ne căutam pe noi, nu vrem să lăsăm nici urme
    Tipe în D..."
