name,i,the,you,to,and,a,me,it,not,in,my,is,of,your,that,do,on,are,we,am,will,all,for,no,be,have,love,so,know,this,but,with,what,just,when,like,now,que,time,can,come,de,there,go,up,oh,la,one,they
Jungle Brothers,16.0,28.0,24.0,24.0,17.0,22.0,6.0,11.0,12.0,5.0,6.0,12.0,5.0,15.0,3.0,11.0,14.0,6.0,1.0,0.0,0.0,6.0,2.0,2.0,5.0,3.0,0.0,1.0,3.0,1.0,8.0,6.0,9.0,2.0,3.0,2.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0
The Primitives,12.0,0.0,4.0,3.0,3.0,0.0,0.0,8.0,4.0,4.0,0.0,3.0,8.0,4.0,6.0,4.0,0.0,4.0,0.0,6.0,0.0,4.0,3.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Jon & Vangelis,4.0,6.0,1.0,1.0,1.0,5.0,3.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0
Hi-STANDARD,3.0,5.0,15.0,4.0,2.0,5.0,1.0,2.0,2.0,0.0,0.0,5.0,2.0,7.0,0.0,0.0,1.0,3.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0
Lee Dorsey,6.0,6.0,21.0,1.0,3.0,0.0,3.0,13.0,4.0,0.0,1.0,3.0,0.0,3.0,2.0,1.0,0.0,7.0,0.0,3.0,0.0,0.0,3.0,2.0,6.0,1.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,1.0,1.0,7.0,0.0,2.0,0.0
Priscilla Ahn,7.0,3.0,3.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,5.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,22.0,0.0,0.0
Santos & Pecadores,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sparks the Rescue,11.0,14.0,13.0,5.0,7.0,1.0,2.0,7.0,1.0,2.0,7.0,10.0,3.0,7.0,3.0,0.0,3.0,2.0,8.0,0.0,3.0,3.0,0.0,2.0,3.0,1.0,4.0,2.0,3.0,0.0,1.0,0.0,0.0,3.0,1.0,5.0,2.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0
Krayzie Bone,12.0,12.0,16.0,16.0,0.0,3.0,43.0,15.0,46.0,15.0,15.0,11.0,2.0,0.0,14.0,22.0,4.0,1.0,3.0,3.0,1.0,1.0,4.0,2.0,7.0,1.0,0.0,2.0,24.0,12.0,11.0,4.0,3.0,3.0,3.0,3.0,0.0,0.0,2.0,2.0,4.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,14.0
Charlotte Church,20.0,9.0,0.0,10.0,6.0,1.0,3.0,0.0,0.0,4.0,6.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,2.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Skye Sweetnam,34.0,1.0,38.0,7.0,5.0,3.0,5.0,6.0,30.0,0.0,0.0,2.0,0.0,6.0,0.0,31.0,0.0,4.0,0.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,0.0,16.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0
Patty Pravo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
Leci Brandão,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Whiplash,0.0,8.0,7.0,9.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,1.0,2.0,0.0,4.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Karpe Diem,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Mutya Buena,24.0,2.0,33.0,15.0,5.0,3.0,16.0,7.0,22.0,1.0,3.0,9.0,0.0,6.0,4.0,11.0,3.0,0.0,2.0,6.0,1.0,1.0,2.0,8.0,1.0,7.0,0.0,1.0,9.0,5.0,2.0,4.0,4.0,3.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0
Bayside,20.0,11.0,5.0,7.0,13.0,11.0,7.0,2.0,10.0,4.0,7.0,2.0,0.0,1.0,9.0,8.0,2.0,1.0,0.0,9.0,0.0,1.0,1.0,0.0,1.0,2.0,0.0,4.0,2.0,5.0,0.0,1.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0
ASP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Killing Joke,11.0,15.0,2.0,7.0,5.0,2.0,2.0,1.0,2.0,1.0,0.0,2.0,3.0,1.0,2.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Neuraxis,0.0,7.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Keisha White,27.0,3.0,8.0,5.0,8.0,5.0,6.0,9.0,12.0,2.0,13.0,4.0,11.0,3.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,5.0,2.0,5.0,5.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,0.0
Behind Crimson Eyes,14.0,4.0,4.0,1.0,5.0,4.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,3.0,0.0,4.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liza Li,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richard Lloyd,11.0,4.0,11.0,3.0,3.0,7.0,5.0,4.0,7.0,2.0,0.0,4.0,1.0,2.0,4.0,6.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,1.0,4.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
My Ruin,21.0,4.0,2.0,0.0,3.0,0.0,2.0,0.0,6.0,4.0,5.0,3.0,9.0,1.0,0.0,1.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
Strangelove,3.0,9.0,12.0,8.0,0.0,6.0,9.0,1.0,9.0,4.0,2.0,11.0,1.0,0.0,5.0,1.0,1.0,0.0,9.0,1.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,3.0,6.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,3.0,0.0
Kenny G,3.0,9.0,10.0,3.0,4.0,0.0,8.0,2.0,13.0,4.0,0.0,5.0,1.0,2.0,2.0,8.0,1.0,6.0,10.0,2.0,2.0,3.0,0.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,5.0,0.0,0.0,3.0
Carman,22.0,27.0,2.0,5.0,9.0,6.0,3.0,1.0,4.0,5.0,3.0,8.0,6.0,0.0,5.0,0.0,1.0,0.0,8.0,1.0,10.0,6.0,2.0,0.0,5.0,7.0,1.0,0.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0.0
Beth Orton,9.0,6.0,5.0,6.0,8.0,0.0,0.0,10.0,0.0,2.0,2.0,10.0,3.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,9.0,1.0,1.0,3.0,2.0,2.0,2.0,1.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Klee,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
World Party,0.0,24.0,8.0,3.0,3.0,0.0,1.0,3.0,4.0,3.0,10.0,5.0,1.0,3.0,0.0,4.0,1.0,6.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,2.0,0.0,0.0,2.0,8.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,3.0
Joe Nichols,33.0,15.0,17.0,6.0,4.0,0.0,4.0,2.0,2.0,1.0,3.0,1.0,4.0,0.0,1.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,3.0,9.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0
Karl Martindahl,30.0,7.0,21.0,17.0,5.0,7.0,5.0,9.0,0.0,1.0,2.0,0.0,3.0,7.0,7.0,3.0,0.0,0.0,1.0,1.0,3.0,4.0,4.0,8.0,1.0,4.0,4.0,0.0,1.0,1.0,1.0,0.0,5.0,1.0,6.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,3.0,4.0,0.0,0.0,0.0
Elis Regina,0.0,0.0,0.0,0.0,0.0,12.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clarika,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0
Vanessa Daou,6.0,6.0,0.0,2.0,0.0,3.0,0.0,4.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Venerea,1.0,4.0,0.0,3.0,0.0,3.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Legião Urbana,39.0,2.0,6.0,1.0,8.0,11.0,2.0,10.0,12.0,2.0,0.0,4.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,8.0,4.0,3.0,0.0,0.0,2.0,11.0,0.0,0.0,10.0,0.0,0.0,0.0,2.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0
Thomas Godoj,3.0,4.0,2.0,13.0,5.0,1.0,3.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,4.0,3.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0
Pete Yorn,18.0,4.0,2.0,6.0,0.0,1.0,7.0,2.0,1.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,7.0,2.0,3.0,0.0,0.0,3.0,1.0,3.0,5.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
A-Plus,16.0,26.0,26.0,14.0,8.0,3.0,2.0,7.0,2.0,8.0,2.0,11.0,3.0,3.0,4.0,0.0,0.0,3.0,1.0,5.0,1.0,5.0,3.0,4.0,7.0,2.0,1.0,3.0,1.0,1.0,8.0,5.0,5.0,0.0,3.0,1.0,4.0,0.0,0.0,6.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,2.0
Mad Caddies,1.0,23.0,15.0,6.0,10.0,3.0,4.0,1.0,0.0,5.0,1.0,3.0,1.0,0.0,6.0,0.0,0.0,5.0,11.0,0.0,10.0,0.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,1.0
Los Panchos,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Joe Henry,14.0,16.0,0.0,4.0,21.0,8.0,4.0,15.0,1.0,5.0,12.0,6.0,9.0,1.0,4.0,0.0,1.0,1.0,4.0,1.0,5.0,2.0,2.0,0.0,1.0,8.0,0.0,2.0,0.0,16.0,7.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,0.0,2.0,2.0
...And You Will Know Us by the Trail of Dead,0.0,1.0,8.0,3.0,3.0,2.0,0.0,2.0,0.0,5.0,0.0,2.0,3.0,7.0,1.0,0.0,1.0,5.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,5.0
John Waite,42.0,11.0,23.0,0.0,6.0,4.0,6.0,9.0,2.0,4.0,0.0,3.0,5.0,1.0,2.0,7.0,1.0,1.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,4.0,3.0,0.0,1.0,1.0,1.0,14.0,2.0,2.0,0.0,0.0,9.0,0.0,0.0,2.0,0.0,2.0,9.0,0.0,1.0,0.0
Voodoo Glow Skulls,4.0,7.0,3.0,3.0,5.0,1.0,4.0,1.0,5.0,1.0,1.0,0.0,1.0,1.0,0.0,4.0,0.0,1.0,5.0,0.0,1.0,1.0,3.0,0.0,1.0,3.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Titus Andronicus,14.0,24.0,3.0,14.0,7.0,7.0,5.0,9.0,7.0,6.0,7.0,7.0,5.0,1.0,7.0,1.0,2.0,2.0,2.0,3.0,2.0,0.0,2.0,0.0,3.0,3.0,1.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,2.0,0.0
Tindersticks,20.0,0.0,2.0,26.0,0.0,2.0,1.0,2.0,6.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
The Bar-Kays,0.0,22.0,6.0,21.0,7.0,0.0,0.0,2.0,3.0,1.0,0.0,1.0,0.0,20.0,0.0,5.0,10.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,5.0,0.0,0.0,15.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0
Bret Michaels,13.0,6.0,9.0,12.0,1.0,0.0,4.0,1.0,6.0,4.0,2.0,4.0,3.0,0.0,2.0,7.0,1.0,2.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,3.0,7.0,3.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,3.0
No Doubt,31.0,16.0,14.0,2.0,0.0,4.0,26.0,0.0,50.0,4.0,0.0,0.0,2.0,32.0,12.0,26.0,4.0,0.0,0.0,28.0,0.0,2.0,2.0,4.0,0.0,4.0,0.0,14.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
OSI,2.0,3.0,2.0,2.0,2.0,1.0,2.0,6.0,2.0,0.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
The Ike Reilly Assassination,3.0,33.0,6.0,7.0,13.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,10.0,3.0,0.0,0.0,8.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,7.0,0.0
Dr. Hook,13.0,4.0,14.0,0.0,10.0,0.0,0.0,2.0,0.0,4.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,9.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,11.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Black Messiah,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Plan B,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0
VAST,2.0,2.0,2.0,2.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Marianne Faithfull,3.0,8.0,3.0,3.0,5.0,3.0,2.0,1.0,1.0,3.0,0.0,2.0,1.0,0.0,3.0,1.0,6.0,2.0,5.0,0.0,5.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,1.0
Doris Day,5.0,6.0,2.0,1.0,3.0,2.0,1.0,2.0,0.0,1.0,5.0,2.0,1.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,0.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandtson,10.0,0.0,14.0,3.0,4.0,0.0,4.0,1.0,3.0,0.0,0.0,2.0,4.0,1.0,3.0,0.0,0.0,5.0,0.0,1.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sieges Even,0.0,17.0,0.0,4.0,5.0,3.0,12.0,3.0,4.0,2.0,0.0,3.0,10.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ivy Queen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sara Groves,5.0,10.0,0.0,15.0,8.0,5.0,0.0,6.0,0.0,6.0,0.0,3.0,2.0,0.0,5.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Pescado Rabioso,0.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
Straight No Chaser,0.0,7.0,8.0,4.0,7.0,4.0,2.0,4.0,1.0,4.0,1.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,2.0,6.0
Moxy Früvous,0.0,15.0,0.0,10.0,9.0,14.0,0.0,7.0,6.0,5.0,5.0,5.0,5.0,0.0,0.0,6.0,3.0,0.0,1.0,0.0,1.0,10.0,5.0,6.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,5.0,4.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,11.0,1.0,0.0
Aloha,7.0,7.0,6.0,8.0,10.0,4.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,5.0,5.0,0.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,6.0,8.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
